Date,Time,Job ID,Cycle Time (s),Job Count,Machine Utilization (%),Spindle Speed (RPM),Feed Rate (mm/min),Tool Number,Tool Wear (%),Part Status,Defect Type,Vibration Level (mm/s),Spindle Temperature (°C),Power Consumption (kWh),Operator ID,Machine Status
2025-05-05,18:12:27,J1003,65,18,93.62,3463,1137,1,47.5,OK,None,2.08,53,0.63,OP3,Running
2025-05-05,18:12:51,J1004,103,19,87.16,4457,974,5,50.0,OK,None,0.93,50,1.22,OP2,Running
2025-05-05,18:13:22,J1004,62,20,77.46,4911,495,6,52.5,OK,None,0.67,43,2.03,OP2,Running
2025-05-05,18:14:18,J1004,103,21,80.38,4783,370,2,55.0,OK,None,1.58,51,1.5,OP1,Running
2025-05-05,18:14:56,J1004,49,22,92.54,6785,633,8,57.5,OK,None,4.99,37,1.52,OP3,Running
2025-05-05,18:15:28,J1004,121,23,65.84,5402,686,8,60.0,OK,None,0.56,38,2.24,OP3,Running
2025-05-05,18:16:01,J1005,84,24,85.62,5188,959,8,62.5,OK,None,1.3,47,0.63,OP2,Running
2025-05-05,18:16:47,J1005,141,25,67.85,5025,708,7,65.0,OK,None,1.23,51,0.71,OP1,Running
2025-05-05,18:17:33,J1005,150,26,90.54,6532,338,3,67.5,OK,None,0.83,45,0.61,OP1,Running
2025-05-05,18:17:58,J1005,131,27,92.61,6855,400,4,70.0,OK,None,2.59,46,1.62,OP3,Running
2025-05-05,18:18:27,J1005,151,28,85.89,4750,419,2,72.5,OK,None,1.35,45,1.19,OP3,Running
2025-05-05,18:19:24,J1006,108,29,76.24,7159,697,2,75.0,OK,None,1.69,49,2.25,OP3,Running
2025-05-05,18:20:05,J1006,124,29,89.11,4479,750,3,77.5,None,None,2.05,60,1.17,OP2,Breakdown
2025-05-05,18:20:29,J1006,69,30,74.35,6558,342,5,80.0,OK,None,2.38,48,0.43,OP1,Running
2025-05-05,18:21:14,J1006,66,31,72.9,7467,926,9,82.5,OK,None,4.93,59,1.76,OP3,Running
2025-05-05,18:22:02,J1006,104,32,94.3,5035,323,9,85.0,OK,None,3.0,63,2.5,OP2,Running
2025-05-05,18:22:36,J1007,93,33,89.46,7423,955,4,87.5,OK,None,4.89,63,0.3,OP2,Running
2025-05-05,18:23:14,J1007,159,34,65.07,6712,991,1,90.0,OK,None,1.72,54,1.9,OP3,Running
2025-05-05,18:23:44,J1007,148,35,80.65,4722,521,1,92.5,NG,Misalignment,1.46,46,1.01,OP1,Running
2025-05-05,18:24:33,J1007,157,36,87.39,3936,310,7,95.0,OK,None,4.82,61,1.93,OP1,Running
2025-05-05,18:24:42,J1007,141,37,66.01,4927,776,2,97.5,OK,None,0.85,59,0.45,OP3,Running
2025-05-05,18:25:50,J1008,155,38,82.23,3710,591,3,0.0,OK,None,4.21,48,1.67,OP1,Running
2025-05-05,18:26:17,J1008,57,38,80.03,6491,682,6,2.5,None,None,0.54,57,1.32,OP3,Breakdown
2025-05-05,18:26:48,J1008,73,39,79.51,5570,1089,7,5.0,OK,None,2.73,43,1.36,OP2,Running
2025-05-05,18:27:30,J1008,109,40,90.32,7409,398,1,7.5,OK,None,2.55,44,1.27,OP3,Running
2025-05-05,18:28:19,J1008,64,41,85.79,7274,329,10,10.0,OK,None,1.98,57,0.21,OP2,Running
2025-05-05,18:28:51,J1009,65,42,93.12,4227,572,2,12.5,OK,None,4.32,46,1.53,OP3,Running
2025-05-05,18:29:13,J1009,108,43,83.24,5637,371,10,15.0,OK,None,1.78,62,0.5,OP3,Running
2025-05-05,18:29:47,J1009,53,44,75.34,4081,316,2,17.5,OK,None,1.44,55,1.87,OP3,Running
2025-05-05,18:30:42,J1009,123,45,80.35,5737,664,5,20.0,OK,None,4.51,38,0.46,OP3,Running
2025-05-05,18:31:19,J1009,105,46,68.21,6059,1116,1,22.5,OK,None,2.08,50,2.02,OP2,Running
2025-05-05,18:31:55,J1010,79,47,79.24,4590,473,10,25.0,OK,None,3.96,38,0.78,OP2,Running
2025-05-05,18:32:30,J1010,93,48,76.69,4149,953,9,27.5,OK,None,2.71,48,0.52,OP2,Running
2025-05-05,18:33:06,J1010,65,49,78.18,4141,1042,5,30.0,OK,None,2.81,54,0.5,OP3,Running
2025-05-05,18:33:37,J1010,148,50,65.29,5213,469,6,32.5,OK,None,2.36,58,0.27,OP2,Running
2025-05-05,18:34:30,J1010,50,51,88.62,4699,625,6,35.0,OK,None,1.05,37,2.36,OP3,Running
2025-05-05,18:35:07,J1011,85,52,80.21,6165,830,9,37.5,OK,None,4.71,46,1.41,OP2,Running
2025-05-05,18:35:28,J1011,61,52,68.71,4680,895,8,40.0,None,None,0.92,39,0.66,OP2,Breakdown
2025-05-05,18:36:24,J1011,112,53,89.28,6438,444,8,42.5,NG,Undercut,2.02,43,1.15,OP3,Running
2025-05-05,18:37:00,J1011,134,54,86.98,5994,1000,2,45.0,OK,None,1.5,59,2.49,OP2,Running
2025-05-05,18:37:24,J1011,97,55,70.06,3402,1081,4,47.5,OK,None,0.71,39,1.77,OP2,Running
2025-05-05,18:38:26,J1012,143,56,66.59,4358,936,2,50.0,OK,None,3.07,35,1.27,OP3,Running
2025-05-05,18:38:48,J1012,94,57,85.75,3014,629,5,52.5,OK,None,4.88,51,1.79,OP3,Running
2025-05-05,18:39:16,J1012,104,58,86.8,3021,1078,5,55.0,OK,None,4.78,38,0.94,OP1,Running
2025-05-05,18:40:11,J1012,146,59,84.56,5217,332,8,57.5,OK,None,2.06,53,1.25,OP1,Running
2025-05-05,18:40:37,J1012,120,60,93.8,3096,1101,10,60.0,OK,None,0.81,60,2.3,OP1,Running
2025-05-05,18:41:25,J1013,89,61,76.53,5144,440,10,62.5,OK,None,0.95,38,2.4,OP2,Running
2025-05-05,18:42:13,J1013,88,62,86.44,3983,681,7,65.0,OK,None,4.98,36,1.27,OP2,Running
2025-05-05,18:42:53,J1013,94,63,83.78,3616,1056,4,67.5,OK,None,4.28,59,1.89,OP3,Running
2025-05-05,18:43:22,J1013,113,63,81.43,4702,1085,8,70.0,None,None,1.92,58,2.1,OP2,Idle
2025-05-05,18:43:51,J1013,125,64,82.91,3663,641,1,72.5,OK,None,4.47,46,0.21,OP2,Running
2025-05-05,18:44:43,J1014,137,65,84.09,4569,583,7,75.0,OK,None,3.56,37,1.01,OP3,Running
2025-05-05,18:45:05,J1014,74,66,92.82,5215,535,7,77.5,OK,None,3.75,48,0.66,OP2,Running
2025-05-05,18:45:46,J1014,147,67,91.55,4997,699,9,80.0,OK,None,1.09,59,0.28,OP3,Running
2025-05-05,18:46:39,J1014,81,68,72.78,5099,925,3,82.5,OK,None,1.26,54,1.71,OP2,Running
2025-05-05,18:47:09,J1014,147,69,85.37,6479,496,8,85.0,OK,None,3.59,44,0.27,OP2,Running
2025-05-05,18:47:41,J1015,94,70,81.7,4241,888,3,87.5,OK,None,1.28,44,0.21,OP2,Running
2025-05-05,18:48:25,J1015,133,70,65.84,6312,954,7,90.0,None,None,3.47,46,1.42,OP1,Breakdown
2025-05-05,18:49:07,J1015,70,71,94.91,6128,821,5,92.5,OK,None,1.15,62,0.26,OP2,Running
2025-05-05,18:49:50,J1015,157,72,83.27,5178,648,7,95.0,OK,None,0.76,56,1.14,OP3,Running
2025-05-05,18:50:17,J1015,51,73,68.41,6902,428,8,97.5,OK,None,3.81,53,1.96,OP1,Running
2025-05-05,18:51:04,J1016,152,74,83.79,3097,1028,7,0.0,OK,None,2.11,40,1.7,OP1,Running
2025-05-05,18:51:28,J1016,100,75,70.09,6874,1173,7,2.5,OK,None,2.86,43,1.39,OP1,Running
2025-05-05,18:52:12,J1016,127,76,93.53,6154,705,8,5.0,OK,None,2.09,64,0.41,OP2,Running
2025-05-05,18:52:41,J1016,150,77,66.75,6213,1174,3,7.5,OK,None,3.88,40,0.38,OP2,Running
2025-05-05,18:53:15,J1016,84,78,71.1,7217,696,3,10.0,OK,None,0.65,51,1.71,OP2,Running
2025-05-05,18:54:11,J1017,61,79,79.19,3152,515,2,12.5,OK,None,2.64,64,1.79,OP3,Running
2025-05-05,18:54:44,J1017,114,80,87.64,3317,304,3,15.0,OK,None,4.25,63,1.66,OP2,Running
2025-05-05,18:55:34,J1017,67,81,73.1,5966,1064,9,17.5,OK,None,4.44,51,1.04,OP3,Running
2025-05-05,18:56:07,J1017,50,82,71.66,4162,863,6,20.0,OK,None,4.58,49,1.78,OP2,Running
2025-05-05,18:56:32,J1017,131,83,76.89,4483,756,3,22.5,OK,None,3.45,62,0.32,OP2,Running
2025-05-05,18:57:01,J1018,50,84,87.15,4127,774,3,25.0,NG,Undercut,3.41,57,2.1,OP3,Running
2025-05-05,18:58:08,J1018,65,85,67.78,3708,969,2,27.5,OK,None,1.9,35,0.41,OP2,Running
2025-05-05,18:58:42,J1018,155,86,94.38,4710,413,1,30.0,OK,None,0.92,37,1.98,OP2,Running
2025-05-05,18:58:58,J1018,90,86,90.6,4858,488,7,32.5,None,None,2.39,46,1.09,OP2,Breakdown
2025-05-05,18:59:43,J1018,91,86,68.35,4199,435,9,35.0,None,None,2.78,40,1.2,OP3,Idle
2025-05-05,19:00:20,J1019,134,87,67.96,6617,754,6,37.5,OK,None,3.33,49,0.9,OP1,Running
2025-05-05,19:00:53,J1019,87,87,80.83,6986,892,8,40.0,None,None,2.77,37,1.4,OP3,Breakdown
2025-05-05,19:01:52,J1019,137,88,69.32,5808,1195,3,42.5,OK,None,2.51,60,0.72,OP3,Running
2025-05-05,19:02:05,J1019,94,89,92.11,3213,952,8,45.0,OK,None,2.77,62,0.99,OP3,Running
2025-05-05,19:03:09,J1019,84,89,72.57,5875,385,1,47.5,None,None,3.94,42,1.25,OP2,Idle
2025-05-05,19:03:48,J1020,129,90,77.09,5349,322,1,50.0,OK,None,3.27,43,0.34,OP2,Running
2025-05-05,19:04:04,J1020,66,90,80.24,5938,824,8,52.5,None,None,1.85,46,0.91,OP3,Idle
2025-05-05,19:05:02,J1020,120,91,66.55,6435,788,9,55.0,OK,None,3.59,38,1.81,OP2,Running
2025-05-05,19:05:27,J1020,148,92,72.98,6510,946,5,57.5,OK,None,3.01,52,1.16,OP2,Running
2025-05-05,19:06:00,J1020,66,93,68.02,7180,956,8,60.0,OK,None,4.79,56,0.39,OP3,Running
2025-05-05,19:06:56,J1021,153,94,89.93,7203,374,4,62.5,OK,None,2.87,46,1.96,OP1,Running
2025-05-05,19:07:21,J1021,120,95,78.32,6016,816,6,65.0,OK,None,3.27,45,2.38,OP2,Running
2025-05-05,19:08:01,J1021,152,95,71.45,6662,695,5,67.5,None,None,2.78,38,0.39,OP1,Breakdown
2025-05-05,19:08:41,J1021,91,96,87.73,3321,936,3,70.0,OK,None,3.67,43,2.24,OP2,Running
2025-05-05,19:09:26,J1021,147,97,73.28,6480,458,5,72.5,OK,None,1.13,44,2.13,OP3,Running
2025-05-05,19:10:01,J1022,50,98,82.05,7344,398,8,75.0,OK,None,4.59,57,1.84,OP2,Running
2025-05-05,19:10:38,J1022,112,99,94.27,5088,997,8,77.5,OK,None,2.28,38,0.49,OP1,Running
2025-05-05,19:11:05,J1022,110,99,88.44,3497,628,6,80.0,None,None,2.18,35,2.45,OP1,Idle
2025-05-05,19:11:57,J1022,138,100,78.55,4247,309,3,82.5,OK,None,0.54,56,0.63,OP1,Running
2025-05-05,19:12:31,J1022,110,100,75.21,7122,838,4,85.0,None,None,2.55,35,1.01,OP3,Idle
2025-05-05,19:12:50,J1023,117,101,66.58,5654,1197,3,87.5,OK,None,2.84,53,2.21,OP2,Running
2025-05-05,19:13:38,J1023,85,102,70.01,7003,973,8,90.0,OK,None,2.29,43,1.77,OP3,Running
2025-05-05,19:14:10,J1023,102,103,70.36,3811,826,6,92.5,OK,None,4.49,42,1.92,OP3,Running
2025-05-05,19:14:49,J1023,91,104,77.37,5467,355,1,95.0,OK,None,0.52,46,1.52,OP2,Running
2025-05-05,19:15:26,J1023,158,105,94.95,4798,918,5,97.5,OK,None,1.04,40,1.44,OP2,Running
2025-05-05,19:16:28,J1024,130,106,70.14,6083,908,7,0.0,OK,None,3.1,53,1.02,OP1,Running
2025-05-05,19:17:02,J1024,75,107,68.35,7037,713,6,2.5,OK,None,1.58,45,1.3,OP3,Running
2025-05-05,19:17:41,J1024,58,108,82.74,3225,718,5,5.0,OK,None,2.14,47,1.79,OP2,Running
2025-05-05,19:17:55,J1024,93,109,67.58,3265,1097,7,7.5,OK,None,0.74,36,0.78,OP2,Running
2025-05-05,19:18:37,J1024,109,110,65.71,6940,588,5,10.0,OK,None,4.87,37,1.84,OP1,Running
2025-05-05,19:19:38,J1025,79,111,79.02,3756,996,7,12.5,OK,None,0.52,52,0.37,OP1,Running
2025-05-05,19:20:04,J1025,139,112,66.11,5771,1166,3,15.0,NG,Burr,4.89,45,1.78,OP2,Running
2025-05-05,19:20:27,J1025,64,113,76.0,6302,436,1,17.5,OK,None,1.93,54,0.44,OP3,Running
2025-05-05,19:21:09,J1025,74,114,70.69,4067,1166,8,20.0,OK,None,4.36,54,1.95,OP2,Running
2025-05-05,19:21:47,J1025,45,115,78.97,6267,504,7,22.5,OK,None,3.84,61,0.78,OP2,Running
2025-05-05,19:22:42,J1026,159,116,73.91,5500,541,3,25.0,OK,None,2.26,53,2.09,OP1,Running
2025-05-05,19:23:15,J1026,110,116,86.11,3523,586,1,27.5,None,None,4.35,48,1.05,OP3,Idle
2025-05-05,19:23:41,J1026,107,117,88.43,6482,743,5,30.0,OK,None,1.3,50,2.22,OP2,Running
2025-05-05,19:24:44,J1026,82,118,86.69,3639,620,2,32.5,OK,None,4.64,55,0.73,OP1,Running
2025-05-05,19:25:05,J1026,114,119,74.19,6125,842,3,35.0,OK,None,0.7,42,2.13,OP1,Running
2025-05-05,19:25:45,J1027,45,120,71.44,6076,340,4,37.5,OK,None,4.07,42,1.09,OP3,Running
2025-05-05,19:26:32,J1027,144,121,85.04,3102,329,1,40.0,OK,None,3.8,60,1.55,OP2,Running
2025-05-05,19:27:04,J1027,82,121,81.67,4241,741,3,42.5,None,None,4.51,39,1.75,OP2,Idle
2025-05-05,19:27:37,J1027,77,122,68.94,6690,738,9,45.0,OK,None,3.16,58,0.32,OP2,Running
2025-05-05,19:28:26,J1027,68,123,75.21,5873,660,1,47.5,OK,None,5.0,64,2.38,OP3,Running
2025-05-05,19:28:43,J1028,150,124,71.75,4371,766,7,50.0,OK,None,3.45,35,2.37,OP3,Running
2025-05-05,19:29:30,J1028,136,125,74.68,4201,1028,4,52.5,OK,None,2.04,54,2.35,OP3,Running
2025-05-05,19:30:24,J1028,110,126,72.58,3577,409,7,55.0,OK,None,4.25,35,0.87,OP1,Running
2025-05-05,19:30:44,J1028,52,127,87.62,7220,975,2,57.5,NG,Undercut,3.45,64,0.41,OP1,Running
2025-05-05,19:31:23,J1028,145,128,91.37,5509,897,6,60.0,OK,None,3.08,46,2.47,OP2,Running
2025-05-05,19:32:06,J1029,117,128,83.89,5048,541,3,62.5,None,None,2.77,42,0.89,OP3,Breakdown
2025-05-05,19:32:39,J1029,56,129,85.85,6052,981,7,65.0,OK,None,3.53,40,2.05,OP2,Running
2025-05-05,19:33:23,J1029,122,130,83.66,5632,706,3,67.5,OK,None,0.57,61,0.89,OP2,Running
2025-05-05,19:34:07,J1029,132,131,87.45,7408,516,3,70.0,OK,None,1.43,58,0.73,OP3,Running
2025-05-05,19:34:24,J1029,114,132,77.72,7407,548,9,72.5,OK,None,4.34,62,2.33,OP2,Running
2025-05-05,19:35:27,J1030,128,133,72.63,3203,846,5,75.0,OK,None,2.44,36,1.54,OP3,Running
2025-05-05,19:35:49,J1030,133,134,73.2,6657,435,1,77.5,OK,None,4.1,51,0.82,OP2,Running
2025-05-05,19:36:45,J1030,86,135,66.59,6549,1004,6,80.0,OK,None,4.2,48,0.62,OP1,Running
2025-05-05,19:36:54,J1030,156,135,88.17,6878,410,4,82.5,None,None,3.75,62,1.42,OP2,Idle
2025-05-05,19:37:56,J1030,57,136,67.46,4683,452,9,85.0,OK,None,1.91,36,0.68,OP2,Running
2025-05-05,19:38:18,J1031,66,137,87.65,6125,822,10,87.5,OK,None,4.3,45,1.74,OP2,Running
2025-05-05,19:39:09,J1031,67,138,87.55,3254,1111,6,90.0,OK,None,1.6,59,0.35,OP3,Running
2025-05-05,19:39:46,J1031,53,139,66.05,6755,785,2,92.5,OK,None,1.07,53,2.12,OP1,Running
2025-05-05,19:40:08,J1031,77,140,67.3,6348,1079,3,95.0,OK,None,4.91,63,1.56,OP1,Running
2025-05-05,19:40:50,J1031,109,141,77.7,3118,848,5,97.5,OK,None,4.73,38,1.03,OP1,Running
2025-05-05,19:41:43,J1032,97,141,81.52,3892,311,2,0.0,None,None,4.04,45,0.68,OP2,Idle
2025-05-05,19:42:22,J1032,58,142,89.12,6552,708,10,2.5,OK,None,0.96,59,0.65,OP1,Running
2025-05-05,19:42:41,J1032,87,143,80.24,4149,807,4,5.0,OK,None,1.81,38,1.0,OP2,Running
2025-05-05,19:43:25,J1032,100,144,78.5,4013,635,2,7.5,OK,None,2.78,58,0.6,OP1,Running
2025-05-05,19:44:04,J1032,103,145,69.71,3363,1180,5,10.0,OK,None,2.08,45,1.53,OP1,Running
2025-05-05,19:44:34,J1033,84,145,86.85,7365,730,3,12.5,None,None,4.64,46,0.86,OP2,Idle
2025-05-05,19:45:15,J1033,87,146,74.66,5944,597,5,15.0,OK,None,1.94,62,0.53,OP3,Running
2025-05-05,19:46:16,J1033,109,146,76.9,6030,1115,4,17.5,None,None,2.49,54,0.43,OP1,Breakdown
2025-05-05,19:46:39,J1033,130,147,82.39,6015,920,6,20.0,OK,None,4.54,48,1.81,OP2,Running
2025-05-05,19:47:08,J1033,108,148,66.53,4738,1101,2,22.5,OK,None,2.69,64,2.06,OP1,Running
2025-05-05,19:47:43,J1034,84,149,87.54,3919,302,8,25.0,OK,None,0.72,60,1.57,OP2,Running
2025-05-05,19:48:22,J1034,104,150,91.64,6626,560,8,27.5,OK,None,4.07,42,0.98,OP3,Running
2025-05-05,19:49:20,J1034,54,150,83.24,4974,650,3,30.0,None,None,4.26,50,1.18,OP3,Idle
2025-05-05,19:49:48,J1034,88,150,87.79,4690,546,6,32.5,None,None,3.9,39,1.05,OP2,Idle
2025-05-05,19:50:33,J1034,90,151,89.36,5772,753,9,35.0,OK,None,4.44,47,1.87,OP1,Running
2025-05-05,19:50:50,J1035,127,152,67.75,7303,637,2,37.5,OK,None,4.14,40,2.09,OP2,Running
2025-05-05,19:51:29,J1035,159,153,81.43,6473,593,10,40.0,OK,None,1.29,40,1.79,OP1,Running
2025-05-05,19:52:11,J1035,115,154,87.44,5774,577,4,42.5,OK,None,4.56,49,1.67,OP3,Running
2025-05-05,19:52:48,J1035,67,155,88.32,6688,488,10,45.0,OK,None,1.9,58,0.29,OP3,Running
2025-05-05,19:53:22,J1035,83,156,94.83,4037,1136,3,47.5,OK,None,1.23,59,0.81,OP2,Running
2025-05-05,19:54:19,J1036,90,157,67.84,4640,1167,1,50.0,OK,None,0.86,61,1.37,OP1,Running
2025-05-05,19:54:41,J1036,120,158,79.69,6704,566,9,52.5,OK,None,1.76,42,0.24,OP1,Running
2025-05-05,19:55:32,J1036,47,159,81.44,4199,914,9,55.0,OK,None,1.9,48,2.09,OP3,Running
2025-05-05,19:56:24,J1036,81,160,88.98,6683,1082,6,57.5,OK,None,2.9,42,2.4,OP1,Running
2025-05-05,19:56:58,J1036,128,161,80.92,5247,365,3,60.0,OK,None,0.57,60,2.01,OP3,Running
2025-05-05,19:57:23,J1037,140,162,73.36,4412,877,8,62.5,OK,None,4.15,38,1.56,OP1,Running
2025-05-05,19:58:16,J1037,74,163,94.99,3071,1141,1,65.0,NG,Misalignment,2.7,41,1.03,OP3,Running
2025-05-06,18:00:26,J1037,131,164,77.9,3878,1118,7,67.5,OK,None,0.74,52,0.5,OP3,Running
2025-05-06,18:01:08,J1037,53,165,85.75,6312,1152,2,70.0,OK,None,1.66,61,1.58,OP2,Running
2025-05-06,18:01:18,J1037,55,166,88.08,5784,526,2,72.5,OK,None,2.05,35,1.52,OP2,Running
2025-05-06,18:02:15,J1038,151,166,91.74,6618,331,1,75.0,None,None,2.86,37,2.49,OP1,Idle
2025-05-06,18:02:38,J1038,110,167,88.69,5930,742,7,77.5,OK,None,0.83,63,0.73,OP1,Running
2025-05-06,18:03:38,J1038,64,168,88.66,7462,999,5,80.0,OK,None,1.48,42,1.63,OP3,Running
2025-05-06,18:03:52,J1038,50,169,81.36,3679,329,3,82.5,OK,None,2.91,52,0.96,OP2,Running
2025-05-06,18:04:40,J1038,90,170,71.34,3473,821,9,85.0,OK,None,1.77,41,0.69,OP1,Running
2025-05-06,18:05:24,J1039,108,170,89.55,7253,1002,6,87.5,None,None,1.29,46,0.46,OP2,Breakdown
2025-05-06,18:05:50,J1039,145,170,73.32,3359,721,7,90.0,None,None,1.57,60,2.42,OP1,Breakdown
2025-05-06,18:06:27,J1039,61,171,67.13,4208,823,9,92.5,OK,None,1.55,37,1.67,OP3,Running
2025-05-06,18:07:22,J1039,105,172,74.99,5747,739,3,95.0,OK,None,1.25,61,2.23,OP3,Running
2025-05-06,18:08:00,J1039,60,173,90.98,6849,914,8,97.5,OK,None,1.97,55,0.53,OP3,Running
2025-05-06,18:08:25,J1040,103,174,94.03,5862,737,10,0.0,NG,Undercut,3.11,40,1.28,OP1,Running
2025-05-06,18:09:02,J1040,94,175,93.76,7114,905,5,2.5,OK,None,4.32,37,2.2,OP3,Running
2025-05-06,18:09:55,J1040,135,176,81.92,3035,1092,10,5.0,OK,None,2.98,45,2.38,OP1,Running
2025-05-06,18:10:19,J1040,144,177,87.48,4154,856,3,7.5,NG,Misalignment,3.97,42,1.33,OP2,Running
2025-05-06,18:10:52,J1040,62,177,79.45,3674,552,10,10.0,None,None,3.57,54,0.31,OP2,Idle
2025-05-06,18:11:46,J1041,83,178,74.67,5562,950,4,12.5,OK,None,2.78,61,2.16,OP1,Running
2025-05-06,18:12:29,J1041,142,179,87.92,6865,359,5,15.0,OK,None,1.0,43,1.37,OP3,Running
2025-05-06,18:12:50,J1041,102,180,73.98,6344,377,9,17.5,OK,None,4.48,40,0.79,OP3,Running
2025-05-06,18:13:38,J1041,95,181,85.23,4851,632,1,20.0,OK,None,2.94,49,1.71,OP1,Running
2025-05-06,18:14:05,J1041,96,182,85.63,3338,1173,3,22.5,OK,None,4.62,59,0.38,OP2,Running
2025-05-06,18:14:48,J1042,54,183,75.3,7410,1068,8,25.0,OK,None,4.82,40,1.77,OP2,Running
2025-05-06,18:15:35,J1042,51,184,72.8,7186,643,5,27.5,OK,None,1.67,47,0.45,OP3,Running
2025-05-06,18:16:14,J1042,98,185,86.86,6948,445,3,30.0,OK,None,2.9,61,1.49,OP1,Running
2025-05-06,18:16:40,J1042,115,186,92.09,6495,454,8,32.5,OK,None,3.23,43,1.02,OP1,Running
2025-05-06,18:17:27,J1042,89,187,71.69,3954,647,5,35.0,OK,None,3.7,41,0.61,OP1,Running
2025-05-06,18:18:12,J1043,61,188,78.75,7434,395,6,37.5,OK,None,4.24,57,0.44,OP3,Running
2025-05-06,18:18:46,J1043,151,189,92.17,3739,809,3,40.0,OK,None,3.76,37,0.34,OP2,Running
2025-05-06,18:19:03,J1043,71,190,82.79,6196,1055,3,42.5,OK,None,0.89,62,1.22,OP3,Running
2025-05-06,18:19:53,J1043,150,191,79.29,3648,596,3,45.0,OK,None,1.66,51,0.7,OP2,Running
2025-05-06,18:20:44,J1043,62,191,83.18,6365,485,4,47.5,None,None,4.32,40,1.12,OP3,Breakdown
2025-05-06,18:21:04,J1044,100,192,82.83,6891,683,2,50.0,OK,None,2.71,49,1.41,OP3,Running
2025-05-06,18:21:48,J1044,139,193,72.88,5347,340,7,52.5,NG,Undercut,1.12,54,2.09,OP1,Running
2025-05-06,18:22:28,J1044,110,194,82.44,4027,788,6,55.0,OK,None,2.56,63,1.18,OP3,Running
2025-05-06,18:23:13,J1044,80,195,83.55,3849,759,7,57.5,OK,None,1.63,44,1.0,OP1,Running
2025-05-06,18:23:32,J1044,60,196,79.12,3924,1112,8,60.0,OK,None,2.46,43,0.73,OP3,Running
2025-05-06,18:24:07,J1045,127,196,71.78,3749,1016,6,62.5,None,None,1.11,55,1.44,OP2,Idle
2025-05-06,18:24:53,J1045,83,197,88.41,6823,579,4,65.0,OK,None,4.03,51,0.66,OP1,Running
2025-05-06,18:25:23,J1045,140,198,70.77,7281,308,6,67.5,OK,None,4.01,35,2.26,OP1,Running
2025-05-06,18:26:03,J1045,100,199,92.62,3326,744,7,70.0,OK,None,2.06,40,1.02,OP1,Running
2025-05-06,18:26:51,J1045,76,200,82.0,4416,1060,1,72.5,OK,None,2.55,35,0.23,OP3,Running
2025-05-06,18:27:25,J1046,101,201,89.23,4953,636,3,75.0,OK,None,1.78,56,0.7,OP3,Running
2025-05-06,18:28:16,J1046,113,202,94.92,5414,735,4,77.5,OK,None,3.74,61,1.19,OP2,Running
2025-05-06,18:28:45,J1046,124,202,85.16,5649,488,3,80.0,None,None,1.28,45,0.42,OP3,Breakdown
2025-05-06,18:29:12,J1046,70,203,79.51,4993,557,2,82.5,OK,None,2.68,49,2.5,OP3,Running
2025-05-06,18:30:02,J1046,99,204,76.29,6033,968,9,85.0,OK,None,1.03,49,2.4,OP1,Running
