Timestamp,Mode,Cycle Time (s),Job Count,Machine Utilization (%),Spindle Speed (RPM),Feed Rate (mm/min),Tool Wear (%),Vibration Level (mm/s),Spindle Temperature (°C),Power Consumption (kWh),Part Status,Machine Status,Confidence,Defect Types
2025-06-19 12:29:35,batch,65,18,93.62,3463,1137,47.5,2.08,53,0.63,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,103,19,87.16,4457,974,50.0,0.93,50,1.22,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,62,20,77.46,4911,495,52.5,0.67,43,2.03,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,103,21,80.38,4783,370,55.0,1.58,51,1.5,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,49,22,92.54,6785,633,57.5,4.99,37,1.52,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,121,23,65.84,5402,686,60.0,0.56,38,2.24,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,84,24,85.62,5188,959,62.5,1.3,47,0.63,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,141,25,67.85,5025,708,65.0,1.23,51,0.71,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,150,26,90.54,6532,338,67.5,0.83,45,0.61,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,131,27,92.61,6855,400,70.0,2.59,46,1.62,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,151,28,85.89,4750,419,72.5,1.35,45,1.19,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,108,29,76.24,7159,697,75.0,1.69,49,2.25,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,124,29,89.11,4479,750,77.5,2.05,60,1.17,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,69,30,74.35,6558,342,80.0,2.38,48,0.43,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,66,31,72.9,7467,926,82.5,4.93,59,1.76,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,104,32,94.3,5035,323,85.0,3.0,63,2.5,❌ NG,🔴 Breakdown,70,"Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,93,33,89.46,7423,955,87.5,4.89,63,0.3,❌ NG,🔴 Breakdown,60,"Spindle Overload, Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,159,34,65.07,6712,991,90.0,1.72,54,1.9,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,148,35,80.65,4722,521,92.5,1.46,46,1.01,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,157,36,87.39,3936,310,95.0,4.82,61,1.93,❌ NG,🔴 Breakdown,70,"Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,141,37,66.01,4927,776,97.5,0.85,59,0.45,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,155,38,82.23,3710,591,0.0,4.21,48,1.67,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,57,38,80.03,6491,682,2.5,0.54,57,1.32,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,73,39,79.51,5570,1089,5.0,2.73,43,1.36,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,109,40,90.32,7409,398,7.5,2.55,44,1.27,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,64,41,85.79,7274,329,10.0,1.98,57,0.21,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,65,42,93.12,4227,572,12.5,4.32,46,1.53,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,108,43,83.24,5637,371,15.0,1.78,62,0.5,❌ NG,🔴 Breakdown,80,"Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,53,44,75.34,4081,316,17.5,1.44,55,1.87,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,123,45,80.35,5737,664,20.0,4.51,38,0.46,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,105,46,68.21,6059,1116,22.5,2.08,50,2.02,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,79,47,79.24,4590,473,25.0,3.96,38,0.78,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,93,48,76.69,4149,953,27.5,2.71,48,0.52,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,65,49,78.18,4141,1042,30.0,2.81,54,0.5,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,148,50,65.29,5213,469,32.5,2.36,58,0.27,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,50,51,88.62,4699,625,35.0,1.05,37,2.36,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,85,52,80.21,6165,830,37.5,4.71,46,1.41,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,61,52,68.71,4680,895,40.0,0.92,39,0.66,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,112,53,89.28,6438,444,42.5,2.02,43,1.15,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,134,54,86.98,5994,1000,45.0,1.5,59,2.49,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,97,55,70.06,3402,1081,47.5,0.71,39,1.77,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,143,56,66.59,4358,936,50.0,3.07,35,1.27,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,94,57,85.75,3014,629,52.5,4.88,51,1.79,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,104,58,86.8,3021,1078,55.0,4.78,38,0.94,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,146,59,84.56,5217,332,57.5,2.06,53,1.25,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,120,60,93.8,3096,1101,60.0,0.81,60,2.3,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,89,61,76.53,5144,440,62.5,0.95,38,2.4,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,88,62,86.44,3983,681,65.0,4.98,36,1.27,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,94,63,83.78,3616,1056,67.5,4.28,59,1.89,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,113,63,81.43,4702,1085,70.0,1.92,58,2.1,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,125,64,82.91,3663,641,72.5,4.47,46,0.21,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,137,65,84.09,4569,583,75.0,3.56,37,1.01,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,74,66,92.82,5215,535,77.5,3.75,48,0.66,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,147,67,91.55,4997,699,80.0,1.09,59,0.28,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,81,68,72.78,5099,925,82.5,1.26,54,1.71,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,147,69,85.37,6479,496,85.0,3.59,44,0.27,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,94,70,81.7,4241,888,87.5,1.28,44,0.21,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,133,70,65.84,6312,954,90.0,3.47,46,1.42,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,70,71,94.91,6128,821,92.5,1.15,62,0.26,❌ NG,🔴 Breakdown,60,"Spindle Overload, Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,157,72,83.27,5178,648,95.0,0.76,56,1.14,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,51,73,68.41,6902,428,97.5,3.81,53,1.96,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,152,74,83.79,3097,1028,0.0,2.11,40,1.7,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,100,75,70.09,6874,1173,2.5,2.86,43,1.39,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,127,76,93.53,6154,705,5.0,2.09,64,0.41,❌ NG,🔴 Breakdown,70,"Spindle Overload, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,150,77,66.75,6213,1174,7.5,3.88,40,0.38,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,84,78,71.1,7217,696,10.0,0.65,51,1.71,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,61,79,79.19,3152,515,12.5,2.64,64,1.79,❌ NG,🔴 Breakdown,80,"Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,114,80,87.64,3317,304,15.0,4.25,63,1.66,❌ NG,🔴 Breakdown,80,"Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,67,81,73.1,5966,1064,17.5,4.44,51,1.04,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,50,82,71.66,4162,863,20.0,4.58,49,1.78,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,131,83,76.89,4483,756,22.5,3.45,62,0.32,❌ NG,🔴 Breakdown,80,"Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,50,84,87.15,4127,774,25.0,3.41,57,2.1,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,65,85,67.78,3708,969,27.5,1.9,35,0.41,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,155,86,94.38,4710,413,30.0,0.92,37,1.98,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,90,86,90.6,4858,488,32.5,2.39,46,1.09,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,91,86,68.35,4199,435,35.0,2.78,40,1.2,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,134,87,67.96,6617,754,37.5,3.33,49,0.9,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,87,87,80.83,6986,892,40.0,2.77,37,1.4,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,137,88,69.32,5808,1195,42.5,2.51,60,0.72,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,94,89,92.11,3213,952,45.0,2.77,62,0.99,❌ NG,🔴 Breakdown,80,"Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,84,89,72.57,5875,385,47.5,3.94,42,1.25,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,129,90,77.09,5349,322,50.0,3.27,43,0.34,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,66,90,80.24,5938,824,52.5,1.85,46,0.91,❌ NG,🔴 Breakdown,90,Power Surge or Drop
2025-06-19 12:29:35,batch,120,91,66.55,6435,788,55.0,3.59,38,1.81,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,148,92,72.98,6510,946,57.5,3.01,52,1.16,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,66,93,68.02,7180,956,60.0,4.79,56,0.39,❌ NG,🔴 Breakdown,80,"Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,153,94,89.93,7203,374,62.5,2.87,46,1.96,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,120,95,78.32,6016,816,65.0,3.27,45,2.38,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,152,95,71.45,6662,695,67.5,2.78,38,0.39,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,91,96,87.73,3321,936,70.0,3.67,43,2.24,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,147,97,73.28,6480,458,72.5,1.13,44,2.13,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,50,98,82.05,7344,398,75.0,4.59,57,1.84,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,112,99,94.27,5088,997,77.5,2.28,38,0.49,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,110,99,88.44,3497,628,80.0,2.18,35,2.45,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,138,100,78.55,4247,309,82.5,0.54,56,0.63,❌ NG,🔴 Breakdown,80,"Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,110,100,75.21,7122,838,85.0,2.55,35,1.01,❌ NG,🔴 Breakdown,70,"Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,117,101,66.58,5654,1197,87.5,2.84,53,2.21,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,85,102,70.01,7003,973,90.0,2.29,43,1.77,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,102,103,70.36,3811,826,92.5,4.49,42,1.92,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,91,104,77.37,5467,355,95.0,0.52,46,1.52,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,158,105,94.95,4798,918,97.5,1.04,40,1.44,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,130,106,70.14,6083,908,0.0,3.1,53,1.02,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,75,107,68.35,7037,713,2.5,1.58,45,1.3,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,58,108,82.74,3225,718,5.0,2.14,47,1.79,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,93,109,67.58,3265,1097,7.5,0.74,36,0.78,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,109,110,65.71,6940,588,10.0,4.87,37,1.84,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,79,111,79.02,3756,996,12.5,0.52,52,0.37,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,139,112,66.11,5771,1166,15.0,4.89,45,1.78,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,64,113,76.0,6302,436,17.5,1.93,54,0.44,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,74,114,70.69,4067,1166,20.0,4.36,54,1.95,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,45,115,78.97,6267,504,22.5,3.84,61,0.78,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,159,116,73.91,5500,541,25.0,2.26,53,2.09,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,110,116,86.11,3523,586,27.5,4.35,48,1.05,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,107,117,88.43,6482,743,30.0,1.3,50,2.22,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,82,118,86.69,3639,620,32.5,4.64,55,0.73,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,114,119,74.19,6125,842,35.0,0.7,42,2.13,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,45,120,71.44,6076,340,37.5,4.07,42,1.09,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,144,121,85.04,3102,329,40.0,3.8,60,1.55,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,82,121,81.67,4241,741,42.5,4.51,39,1.75,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,77,122,68.94,6690,738,45.0,3.16,58,0.32,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
2025-06-19 12:29:35,batch,68,123,75.21,5873,660,47.5,5.0,64,2.38,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,150,124,71.75,4371,766,50.0,3.45,35,2.37,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,136,125,74.68,4201,1028,52.5,2.04,54,2.35,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,110,126,72.58,3577,409,55.0,4.25,35,0.87,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,52,127,87.62,7220,975,57.5,3.45,64,0.41,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,145,128,91.37,5509,897,60.0,3.08,46,2.47,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,117,128,83.89,5048,541,62.5,2.77,42,0.89,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,56,129,85.85,6052,981,65.0,3.53,40,2.05,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,122,130,83.66,5632,706,67.5,0.57,61,0.89,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,132,131,87.45,7408,516,70.0,1.43,58,0.73,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,114,132,77.72,7407,548,72.5,4.34,62,2.33,❌ NG,🔴 Breakdown,50,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,128,133,72.63,3203,846,75.0,2.44,36,1.54,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,133,134,73.2,6657,435,77.5,4.1,51,0.82,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,86,135,66.59,6549,1004,80.0,4.2,48,0.62,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,156,135,88.17,6878,410,82.5,3.75,62,1.42,❌ NG,🔴 Breakdown,50,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,57,136,67.46,4683,452,85.0,1.91,36,0.68,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,66,137,87.65,6125,822,87.5,4.3,45,1.74,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,67,138,87.55,3254,1111,90.0,1.6,59,0.35,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,53,139,66.05,6755,785,92.5,1.07,53,2.12,❌ NG,🔴 Breakdown,60,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,77,140,67.3,6348,1079,95.0,4.91,63,1.56,❌ NG,🔴 Breakdown,50,"Inconsistent Operation, Spindle Overload, Tool Wear/Breakage, Overheating, Power Surge or Drop"
2025-06-19 12:29:35,batch,109,141,77.7,3118,848,97.5,4.73,38,1.03,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Tool Wear/Breakage, Power Surge or Drop"
2025-06-19 12:29:35,batch,97,141,81.52,3892,311,0.0,4.04,45,0.68,❌ NG,🔴 Breakdown,80,"Inconsistent Operation, Power Surge or Drop"
2025-06-19 12:29:35,batch,58,142,89.12,6552,708,2.5,0.96,59,0.65,❌ NG,🔴 Breakdown,70,"Inconsistent Operation, Spindle Overload, Power Surge or Drop"
